               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,             0.02411,           0.0091586,           0.0004579,             0.53828,             0.87482,             0.58595,             0.43016,            0.022751,           0.0087152,           0.0031372,            0.003466,            0.003466,            0.003466
                  68,            0.023382,           0.0094299,          0.00066849,             0.53958,             0.84718,             0.56175,             0.37856,            0.026895,           0.0090549,           0.0020687,            0.003367,            0.003367,            0.003367
                  69,            0.022932,           0.0093881,          0.00059205,             0.38604,             0.55636,             0.32268,             0.16551,            0.048801,            0.012459,            0.013129,            0.003268,            0.003268,            0.003268
                  70,            0.022971,           0.0089891,          0.00059891,             0.51069,             0.83697,             0.51509,             0.37145,            0.026418,           0.0091554,           0.0037784,            0.003169,            0.003169,            0.003169
                  71,             0.02263,           0.0095062,          0.00076457,             0.53289,             0.86023,              0.5442,             0.39595,            0.024303,            0.009855,           0.0031589,             0.00307,             0.00307,             0.00307
                  72,            0.022911,           0.0092011,          0.00050275,             0.52426,             0.86165,             0.56911,              0.4231,            0.022801,           0.0094305,           0.0044414,            0.002971,            0.002971,            0.002971
                  73,            0.022779,           0.0091244,          0.00041634,             0.52201,             0.84421,             0.55393,             0.38816,             0.02545,           0.0096588,           0.0027456,            0.002872,            0.002872,            0.002872
                  74,            0.021913,           0.0091108,           0.0004586,              0.5271,             0.91113,             0.57689,              0.4474,            0.020393,           0.0091408,           0.0011287,            0.002773,            0.002773,            0.002773
                  75,            0.022426,           0.0090229,          0.00071045,             0.52182,              0.9064,             0.55387,             0.42467,            0.021099,            0.008853,           0.0015433,            0.002674,            0.002674,            0.002674
                  76,            0.021852,            0.008825,          0.00037062,             0.51502,             0.90971,             0.55343,             0.40408,             0.02354,           0.0096139,           0.0023328,            0.002575,            0.002575,            0.002575
                  77,            0.022071,           0.0088106,          0.00036735,             0.47849,             0.50221,             0.36999,             0.14251,            0.049173,            0.013236,           0.0041799,            0.002476,            0.002476,            0.002476
                  78,             0.02193,            0.008906,          0.00040124,             0.52026,             0.77339,             0.52974,             0.37497,            0.026176,           0.0098363,           0.0023107,            0.002377,            0.002377,            0.002377
                  79,            0.020806,           0.0086488,          0.00039774,              0.5218,             0.91651,              0.5528,             0.43039,            0.021125,           0.0091645,           0.0012462,            0.002278,            0.002278,            0.002278
                  80,            0.021957,           0.0086196,          0.00034321,             0.50915,             0.86737,              0.5481,             0.40297,            0.024736,           0.0099491,           0.0013044,            0.002179,            0.002179,            0.002179
                  81,            0.020705,           0.0085892,           0.0003917,             0.53625,             0.81213,               0.548,             0.39879,            0.024476,           0.0094634,             0.00471,             0.00208,             0.00208,             0.00208
                  82,            0.021175,            0.008698,          0.00050365,             0.54139,             0.89057,             0.56539,             0.44526,            0.019858,           0.0091719,          0.00091519,            0.001981,            0.001981,            0.001981
                  83,            0.021433,           0.0088461,          0.00030243,              0.5214,             0.89226,             0.54417,             0.35842,             0.02809,            0.009385,           0.0021883,            0.001882,            0.001882,            0.001882
                  84,            0.021119,           0.0087838,          0.00026061,             0.52587,             0.93296,             0.59196,             0.46841,            0.019764,           0.0086919,           0.0010274,            0.001783,            0.001783,            0.001783
                  85,            0.020826,           0.0083731,          0.00019174,             0.51731,             0.93076,             0.56333,             0.44659,            0.019935,            0.008859,          0.00093411,            0.001684,            0.001684,            0.001684
                  86,            0.020776,           0.0085688,          0.00023708,             0.53605,             0.89654,              0.5544,             0.43491,             0.01996,           0.0090476,          0.00088147,            0.001585,            0.001585,            0.001585
                  87,            0.020734,           0.0087076,            0.000284,             0.53719,             0.90678,             0.56223,              0.4298,            0.021601,           0.0091137,           0.0015133,            0.001486,            0.001486,            0.001486
                  88,            0.020406,           0.0082014,          0.00042792,              0.5319,             0.86165,             0.54371,             0.40512,            0.023071,           0.0096249,           0.0028594,            0.001387,            0.001387,            0.001387
                  89,            0.019564,           0.0082076,          0.00036899,             0.52209,             0.92133,             0.55407,             0.43305,            0.021303,           0.0091167,           0.0011435,            0.001288,            0.001288,            0.001288
                  90,             0.01991,           0.0078481,          0.00027254,             0.52369,             0.88787,             0.54415,               0.414,            0.022364,            0.010092,           0.0031847,            0.001189,            0.001189,            0.001189
                  91,            0.019877,           0.0081631,          0.00018757,             0.54134,             0.91363,             0.55438,             0.42941,             0.02045,           0.0092023,          0.00076855,             0.00109,             0.00109,             0.00109
                  92,            0.019462,           0.0082617,          0.00024399,             0.53189,             0.90093,             0.55198,             0.42856,             0.02104,           0.0094592,           0.0019847,            0.000991,            0.000991,            0.000991
                  93,            0.019757,           0.0082408,          0.00030849,             0.52931,             0.91762,             0.57604,             0.44018,            0.021494,           0.0090107,           0.0011615,            0.000892,            0.000892,            0.000892
                  94,            0.019605,           0.0079681,          0.00049181,             0.52973,             0.83116,             0.54479,             0.42612,            0.020927,           0.0095425,           0.0011468,            0.000793,            0.000793,            0.000793
                  95,            0.019073,           0.0082456,          0.00022406,              0.5257,              0.9137,             0.56177,             0.44739,            0.019702,           0.0091381,           0.0012836,            0.000694,            0.000694,            0.000694
                  96,            0.019455,           0.0082716,          0.00023812,             0.52377,             0.93674,             0.55922,             0.44373,            0.019964,           0.0090543,            0.001131,            0.000595,            0.000595,            0.000595
                  97,            0.019003,           0.0082012,          0.00016016,             0.53557,             0.92026,             0.54451,             0.43148,            0.020079,           0.0091974,           0.0011321,            0.000496,            0.000496,            0.000496
                  98,            0.019349,           0.0082554,          0.00038154,             0.52984,             0.92276,             0.54737,             0.43527,            0.019603,           0.0091754,           0.0011534,            0.000397,            0.000397,            0.000397
                  99,             0.01928,           0.0085163,          0.00021363,             0.51916,             0.91873,             0.55315,             0.44449,            0.019319,           0.0090404,           0.0013517,            0.000298,            0.000298,            0.000298
